effective_date,added_symbol,added_name,removed_symbol,removed_name
"October 19, 2016",SHPG,Shire PLC,LLTC,Linear Technology
"July 18, 2016",MCHP,Microchip Technology,NDOI,Endo International
"June 20, 2016",XRAY,Dentsply Sirona,LMCA,Liberty Media
"June 20, 2016",,,LMCK,Liberty Media
"June 20, 2016",,,BATRA,Liberty Media
"June 20, 2016",,,BATRK,Liberty Media
"April 18, 2016",BATRA,Liberty Media,,
"April 18, 2016",BATRK,Liberty Media,,
"March 16, 2016",NTES,NetEase,SNDK,SanDisk
"February 16, 2016",CSX,CSX Corporation,KLAC,KLA-Tencor
"February 1, 2016",AVGO,Broadcom,,
"December 21, 2015",CTRP,Ctrip,CHRW,C. H. Robinson Worldwide
"December 21, 2015",ENDP,Endo International,EXPD,Expeditors International
"December 21, 2015",EXPE,Expedia Group,GMCR,Keurig Green Mountain
"December 21, 2015",MXIM,Maxim Integrated Products,GRMN,Garmin
"December 21, 2015",NCLH,Norwegian Cruise Line,SPLS,Staples
"December 21, 2015",TMUS,T-Mobile US,VIP,VimpelCom
"December 21, 2015",ULTA,Ulta Beauty,WYNN,Wynn Resorts
"December 21, 2015",,,LILA,Liberty Latin America Class A
"December 21, 2015",,,LILAK,Liberty Latin America Class C
"November 11, 2015",PYPL,PayPal,BRCM,Broadcom Corporation
"October 7, 2015",INCY,Incyte,ALTR,Altera
"August 3, 2015",SWKS,Skyworks Solutions,,
"July 31, 2015",,,SIAL,Sigma-Aldrich
"July 29, 2015",JD,JD.com,,
"July 27, 2015",BMRN,BioMarin Pharmaceutical,,
"July 24, 2015",,,DTV,DirecTV
"July 24, 2015",,,CTRX,Catamaran Corporation
"July 2, 2015",KHC,Kraft Heinz,KRFT,Kraft Foods
"July 2, 2015",LILA,Liberty Latin America Class A,,
"July 2, 2015",LILAK,Liberty Latin America Class C,,
"March 23, 2015",WBA,Walgreens Boots Alliance,EQIX,Equinix
"December 22, 2014",AAL,American Airlines Group,EXPE,Expedia Group
"December 22, 2014",EA,Electronic Arts,FFIV,F5 Networks
"December 22, 2014",LRCX,Lam Research,MXIM,Maxim Integrated Products
"December 22, 2014",CMCSK,Comcast Corporation Class A,,
"December 22, 2014",FOX,"Twenty-First Century Fox, Inc. Class B",,
"December 22, 2014",LBTYK,Liberty Global PLC Class C,,
"April 3, 2014",GOOG,Google Class C,,
"December 23, 2013",DISH,DISH Network Corporation,FOSL,Fossil Group
"December 23, 2013",ILMN,Illumina,MCHP,Microchip Technology
"December 23, 2013",NXPI,NXP Semiconductors,NUAN,Nuance Communications
"December 23, 2013",TRIP,TripAdvisor,SHLD,Sears Holdings
"December 23, 2013",TSCO,Tractor Supply Company,XRAY,Dentsply
"November 18, 2013",MAR,Marriott International,GOLD,Randgold Resources
"October 29, 2013",VIP,VimpelCom,DELL,Dell
"August 22, 2013",GMCR,Green Mountain Coffee Roasters,LIFE,Life Technologies
"July 25, 2013",CHTR,Charter Communications,BMC,BMC Software
"July 15, 2013",TSLA,Tesla Motors,ORCL,Oracle
"June 6, 2013",NFLX,Netflix,PRGO,Perrigo
"June 5, 2013",LMCA,Liberty Media,VMED,Virgin Media
"March 18, 2013",KRFT,Kraft Foods,STRZA,Starz
"January 15, 2013",STRZA,Starz,LMCA,Liberty Media
"December 24, 2012",ADI,Analog Devices,APOL,Apollo Group
"December 24, 2012",CTRX,Catamaran Corporation,EA,Electronic Arts
"December 24, 2012",DISCA,Discovery Communications,FLEX,Flextronics
"December 24, 2012",EQIX,Equinix,GMCR,Green Mountain Coffee Roasters
"December 24, 2012",LBTYA,Liberty Global,LRCX,Lam Research
"December 24, 2012",LMCA,Liberty Media,MRVL,Marvell Technology Group
"December 24, 2012",REGN,Regeneron Pharmaceuticals,NFLX,Netflix
"December 24, 2012",SBAC,SBA Communications,RIMM,Research in Motion
"December 24, 2012",VRSK,Verisk Analytics,VRSN,VeriSign
"December 24, 2012",WDC,Western Digital,WCRX,Warner Chilcott
"December 12, 2012",FB,"Facebook, Inc.",INFY,Infosys
"July 23, 2012",KFT,Kraft Foods,CTRP,Ctrip
"May 30, 2012",VIAB,Viacom,TEVA,Teva Pharmaceutical Industries
"April 23, 2012",TXN,Texas Instruments,FSLR,First Solar
"December 19, 2011",AVGO,Avago Technologies,FLIR,FLIR Systems
"December 19, 2011",FOSL,Fossil Group,ILMN,Illumina
"December 19, 2011",HANS,Hansen Natural,NIHD,NII Holdings
"December 19, 2011",NUAN,Nuance Communications,QGEN,Qiagen
"December 19, 2011",GOLD,Randgold Resources,URBN,Urban Outfitters
"December 6, 2011",PRGO,Perrigo,JOYG,Joy Global
"July 15, 2011",SIRI,Sirius XM Radio,CEPH,Cephalon
"May 27, 2011",GMCR,Green Mountain Coffee Roasters,MICC,Millicom International Cellular
"April 4, 2011",ALXN,Alexion Pharmaceuticals,GENZ,Genzyme
"December 20, 2010",AKAM,Akamai Technologies,CTAS,Cintas
"December 20, 2010",CTRP,Ctrip,DISH,Dish Network
"December 20, 2010",DLTR,Dollar Tree,FWLT,Foster Wheeler
"December 20, 2010",FFIV,F5 Networks,HOLX,Hologic
"December 20, 2010",MU,Micron Technology,JBHT,J. B. Hunt
"December 20, 2010",NFLX,Netflix,LOGI,Logitech
"December 20, 2010",WFMI,Whole Foods Market,PDCO,Patterson Companies
"December 21, 2009",VOD,Vodafone,AKAM,Akamai Technologies
"December 21, 2009",MAT,Mattel,HANS,Hansen Natural
"December 21, 2009",BMC,BMC Software,IACI,IAC/InterActiveCorp
"December 21, 2009",MYL,Mylan,LBTYA,Liberty Global Class A
"December 21, 2009",QGEN,Qiagen,PPDI,Pharmaceutical Product Development
"December 21, 2009",SNDK,SanDisk,RYAAY,Ryanair
"December 21, 2009",VMED,Virgin Media,STLD,Steel Dynamics
"October 29, 2009",PCLN,Priceline.com,JNPR,Juniper Networks
"July 17, 2009",CERN,Cerner,JAVA,Sun Microsystems
"January 20, 2009",NWSA,News Corporation Class A,FMCN,Focus Media Holding
"December 22, 2008",ADP,Automatic Data Processing,AMLN,Amylin Pharmaceuticals
"December 22, 2008",FSLR,First Solar,CDNS,Cadence Design Systems
"December 22, 2008",LIFE,Life Technologies,DISCA,Discovery Communications Class A
"December 22, 2008",ROST,Ross Stores,LAMR,Lamar Advertising Company
"December 22, 2008",MXIM,Maxim Integrated Products,LEAP,Leap Wireless International
"December 22, 2008",ILMN,Illumina,LVLT,Level 3 Communications
"December 22, 2008",PPDI,Pharmaceutical Product Development,PETM,PetSmart
"December 22, 2008",ORLY,O'Reilly Auto Parts,SIRI,Sirius XM Radio
"December 22, 2008",URBN,Urban Outfitters,SNDK,SanDisk
"December 22, 2008",JBHT,J. B. Hunt,VMED,Virgin Media
"December 22, 2008",WCRX,Warner Chilcott,WFMI,Whole Foods Market
"November 10, 2008",STX,Seagate Technology,MNST,Monster Worldwide
"July 21, 2008",FLIR,FLIR Systems,UAUA,UAL Corporation
"May 19, 2008",CA,CA Technologies,TLAB,Tellabs
"April 30, 2008",DTV,DirecTV,BEAS,BEA Systems
"December 24, 2007",HOLX,Hologic,ERIC,LM Ericsson
"December 24, 2007",FMCN,Focus Media,PTEN,Patterson-UTI Energy
"December 24, 2007",HANS,Hansen Natural,ROST,Ross Stores
"December 24, 2007",STLD,Steel Dynamics,SEPR,Sepracor
"December 24, 2007",SRCL,Stericycle,XMSR,XM Satellite Radio
"December 4, 2007",BIDU,"Baidu.com, Inc.",CKFR,CheckFree Corporation
"October 8, 2007",LEAP,Leap Wireless International,CDWC,CDW Corporation
"August 27, 2007",VMED,Virgin Media,NLTI,NTL Incorporated
"July 12, 2007",FWLT,Foster Wheeler,BMET,Biomet
"June 1, 2007",CEPH,Cephalon,MEDI,MedImmune
"March 8, 2007",UAUA,UAL Corporation,AEOS,American Eagle Outfitters
"February 14, 2007",RYAAY,Ryanair,APCC,American Power Conversion
"February 1, 2007",LOGI,Logitech,CMVT,Comverse Technology
